Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
455373,Sphere,Michael Crichton,"Crichton, Michael",,"=""""","=""""",0,3.80,Ballantine Books,Paperback,371,1997,1987,,2020/06/23,to-read,to-read (#104),to-read,,,,0,,,0,,,,,
5759,Fight Club,Chuck Palahniuk,"Palahniuk, Chuck",,"=""0393327345""","=""9780393327342""",5,4.19,W.W. Norton & Company (NYC),Paperback,218,2005,1996,2020/06/18,2020/02/24,,,read,,,,1,,,0,,,,,
18045891,Sharp Objects,Gillian Flynn,"Flynn, Gillian",,"=""""","=""""",4,3.97,Broadway Paperbacks,Paperback,254,2006,2006,2020/06/15,2020/06/15,,,read,,,,1,,,0,,,,,
49761405,The Big Finish,Brooke Fossey,"Fossey, Brooke",,"=""1984804936""","=""9781984804938""",0,3.79,Berkley,Hardcover,336,2020,2020,,2020/05/11,to-read,to-read (#103),to-read,,,,0,,,0,,,,,
45047384,The House in the Cerulean Sea,T.J. Klune,"Klune, T.J.",,"=""""","=""""",0,4.56,Tor Books,Kindle Edition,393,2020,2020,,2020/05/11,to-read,to-read (#102),to-read,,,,0,,,0,,,,,
51045613,Deacon King Kong,James   McBride,"McBride, James",,"=""073521672X""","=""9780735216723""",0,4.23,Riverhead Books,Hardcover,371,2020,2020,,2020/05/11,to-read,to-read (#101),to-read,,,,0,,,0,,,,,
49960031,"Wow, No Thank You.",Samantha Irby,"Irby, Samantha",,"=""0525563482""","=""9780525563488""",0,4.00,Vintage,Paperback,336,2020,2020,,2020/05/11,to-read,to-read (#100),to-read,,,,0,,,0,,,,,
52129515,Untamed,Glennon Doyle,"Doyle, Glennon",Glennon Doyle Melton,"=""1984801252""","=""9781984801258""",0,4.19,The Dial Press,Hardcover,352,2020,2020,,2020/05/11,to-read,to-read (#99),to-read,,,,0,,,0,,,,,
22608582,13 Hours: The Inside Account of What Really Happened In Benghazi,Mitchell Zuckoff,"Zuckoff, Mitchell",,"=""1455530093""","=""9781455530090""",5,4.29,Twelve,Hardcover,432,2014,2014,2020/05/11,2020/04/24,,,read,,,,1,,,0,,,,,
1894,Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,"Krakauer, Jon",,"=""1400032806""","=""9781400032808""",0,4.00,Anchor Books,Paperback,399,2003,2003,,2020/05/11,to-read,to-read (#98),to-read,,,,0,,,0,,,,,
